ache/ake;ached/oke;ached/aken
be;were;been
bear;bore;borne/born
forbear;forbore;forborne/forborn
overbear;overbore;overborne/overborn
underbear;underbore;underborne/underborn
beat;beat;beaten/beat
browbeat;browbeat;browbeaten/browbeat
overbeat;overbeat;overbeaten/overbeat
become;became;become
misbecome;misbecame;misbecome
beget;begot;begot/begotten
misbeget;misbegot;misbegotten/misbegot
begin;began;begun
bend;bent;bent
overbend;overbent;overbent
unbend;unbent;unbent
bet;bet/betted;bet/betted
underbet;underbet/underbetted;underbet/underbetted
bid;bid;bid
outbid;outbid;outbid
overbid;overbid;overbid
rebid;rebid;rebid
underbid;underbid;underbid
bide;bided/bode;bided/bidden
abide;abided;abided
bind;bound;bound
unbind;unbound;unbound
underbind;underbound;underbound
bite;bit;bitten
frostbite;frostbit;frostbitten
bleed;bled;bled
blow;blew;blown
overblow;overblew;overblown
break;broke;broken
outbreak;outbroke;outbroken
rebreak;rebroke;rebroken
breed;bred;bred
inbreed;inbred;inbred
interbreed;interbred;interbred
overbreed;overbred;overbred
bring;brought;brought
build;built;built
overbuild;overbuilt;overbuilt
rebuild;rebuilt;rebuilt
underbuild;underbuilt;underbuilt
bust;busted/bust;busted/bust
buy;bought;bought
overbuy;overbought;overbought
underbuy;underbought;underbought
can;could;
cast;cast;cast
broadcast;broadcast;broadcast
downcast;downcast;downcast
forecast;forecast;forecast
miscast;miscast;miscast
overcast;overcast;overcast
podcast;podcast;podcast
precast;precast;precast
recast;recast;recast
simulcast;simulcast;simulcast
telecast;telecast;telecast
typecast;typecast;typecast
undercast;undercast;undercast
upcast;upcast;upcast
webcast;webcast;webcast
catch;caught;caught
chide;chided/chid;chided/chid/chidden
choose;chose;chosen
mischoose;mischose;mischosen
clad;clad;clad
clap;clapped;clapped
cleave;cleft/clove/cleaved;cleft/cloven/cleaved
clepe;cleped/clepen;cleped
cling;clung;clung
clothe;clad/clothed;clad/clothed
overclothe;overclad/overclothed;overclad/overclothed
unclothe;unclad/unclothed;unclad/unclothed
underclothe;underclad/underclothed;underclad/underclothed
comb;combed;combed/kempt
come;came;come/comen
forthcome;forthcame;forthcome
overcome;overcame;overcome/overcomen
cost;cost/costed;cost/costed
creep;crept/creeped;crept/creeped
cut;cut;cut
clearcut;clearcut;clearcut
crosscut;crosscut;crosscut
intercut;intercut;intercut
recut;recut;recut
undercut;undercut;undercut
deal;dealt;dealt
misdeal;misdealt;misdealt
redeal;redealt;redealt
dig;dug;dug
underdig;underdug;underdug
dive;dived/dove;dived/dove
do;did;done
bedo;bedid;bedone
misdo;misdid;misdone
outdo;outdid;outdone
overdo;overdid;overdone
redo;redid;redone
underdo;underdid;underdone
undo;undid;undone
dow;dowed/dought;dowed/dought
draw;drew;drawn
adraw;adrew;adrawn
bedraw;bedrew;bedrawn
downdraw;downdrew;downdrawn
outdraw;outdrew;outdrawn
overdraw;overdrew;overdrawn
redraw;redrew;redrawn
umbedraw;umbedrew;umbedrawn
underdraw;underdrew;underdrawn
updraw;updrew;uprawn
withdraw;withdrew;withdrawn
dream;dreamed/dreamt;dreamed/dreamt
bedream;bedreamed/bedreamt;bedreamed/bedreamt
dress;dressed;dressed
drink;drank;drunk
outdrink;outdrank;outdrunk
overdrink;overdrank;overdrunk
drive;drove;driven
bedrive;bedrove;bedriven
overdrive;overdrove;overdriven
dwell;dwelt/dwelled;dwelt/dwelled
bedwell;bedwelt/bedwelled;bedwelt/bedwelled
outdwell;outdwelt/outdwelled;outdwelt/outdwelled
earn;earned/earnt;earned/earnt
eat;ate;eaten
forfret;forfretted;forfretted/forfretten
fret;fretted/frate;fretted/fretten
outeat;outate;outeaten
overeat;overate;overeaten
undereat;underate;undereaten
fall;fell;fallen
befall;befell;befallen
misbefall;misbefell;misbefallen
misfall;misfell;misfallen
outfall;outfell;outfallen
feed;fed;fed
breastfeed;breastfed;breastfed
misfeed;misfed;misfed
overfeed;overfed;overfed
underfeed;underfed;underfed
feel;felt;felt
forefeel;forefelt;forefelt
fight;fought;fought
befight;befought;befought
outfight;outfought;outfought
find;found;found
refind;refound;refound
fit;fitted/fit;fitted/fit
misfit;misfitted/misfit;misfitted/misfit
flee;fled;fled
fling;flung;flung
fly;flew;flown
outfly;outflew;outflown
overfly;overflew;overflown
forbid;forbid/forbade/forbad;forbidden
forget;forgot;forgotten
forsake;forsook;forsaken
freeze;froze;frozen
refreeze;refroze;refrozen
unfreeze;unfroze;unfrozen
get;got;got/gotten
misget;misgot;misgot/misgotten
overget;overgot;overgot/overgotten
underget;undergot;undergot/undergotten
gild;gilded/gilt;gilded/gilt
give;gave;given
forgive;forgave;forgiven
misgive;misgave;misgiven
overgive;overgave;overgiven
go;went;gone
bego;bewent;begone
forego;forewent;foregone
forgo;forwent;forgone
overgo;overwent;overgone
